effect	term	estimate	std.error	statistic	df	p.value	conf.low	conf.high	taxon	p_adj_BH	taxon_short	significance
fixed	time_months:study_conditionT1D	0.193644095803728	0.0700448852488939	2.7645715331768	101.97955345893	0.00676554907348963	0.0547100636795941	0.332578127927861	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.0587572378183617	s__Parabacteroides_distasonis	nominal p < 0.05
fixed	time_months:study_conditionT1D	-0.168119401516576	0.0639816918705707	-2.6276173167891	112.986514029995	0.00979287296972695	-0.294878836553386	-0.0413599664797664	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0587572378183617	s__Bifidobacterium_longum	nominal p < 0.05
fixed	time_months:study_conditionT1D	-0.116378830309133	0.0564648895341423	-2.0610831132285	100.793295073583	0.0418697109454818	-0.228392767095245	-0.00436489352302216	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.167478843781927	s__Bacteroides_uniformis	nominal p < 0.05
fixed	time_months:study_conditionT1D	0.0922569783264693	0.0648433026203821	1.42276803614673	101.017803187022	0.157884216156988	-0.0363744165908161	0.220888373243755	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.393872089507943	s__Bacteroides_fragilis	not significant
fixed	time_months:study_conditionT1D	-0.180037316204535	0.128573088112604	-1.40027216307396	115.459323685402	0.16411337062831	-0.43470508693036	0.07463045452129	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.393872089507943	s__Roseburia_intestinalis	not significant
fixed	time_months:study_conditionT1D	-0.0534412750555856	0.0506725767421796	-1.05463898801699	101.877352602668	0.294085207061123	-0.153951543115968	0.0470689930047965	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0.555430692156151	s__Prevotella_copri	not significant
fixed	time_months:study_conditionT1D	0.0640847620245565	0.064658313234826	0.991129505525663	100.56004275934	0.324001237091088	-0.0641867419022309	0.192356265951344	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.555430692156151	s__Bacteroides_dorei	not significant
fixed	time_months:study_conditionT1D	0.0468597772002684	0.082000442123777	0.571457616405715	112.894458075343	0.568825448775694	-0.115599531880309	0.209319086280846	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.689597376029492	s__Blautia_wexlerae	not significant
fixed	time_months:study_conditionT1D	0.0541041131955758	0.0957724631088201	0.56492348050087	104.102532090381	0.57334117722651	-0.135814073656202	0.244022300047353	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.689597376029492	s__Bifidobacterium_bifidum	not significant
fixed	time_months:study_conditionT1D	0.0249944254276763	0.0515719212354287	0.484651818837141	100.919600807566	0.628973602593942	-0.0773113816738232	0.127300232529176	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.689597376029492	s__Bacteroides_vulgatus	not significant
fixed	time_months:study_conditionT1D	0.0451777984012249	0.0991922888931594	0.455456758840258	110.607314379491	0.649673511860193	-0.151386033736765	0.241741630539215	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0.689597376029492	s__Bacteroides_ovatus	not significant
fixed	time_months:study_conditionT1D	0.0351881034025417	0.0878805091901572	0.40040850612735	115.177955324672	0.689597376029492	-0.138883412397306	0.209259619202389	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.689597376029492	s__Faecalibacterium_prausnitzii	not significant
