analysis	outcome	term	estimate	conf.low	conf.high	p.value	p_adj_BH	significance
Alpha diversity	Shannon diversity	time_months	0.0157502020975329	0.00506746713293808	0.0264329370621276	0.00424599548492088	NA	p < 0.01
Alpha diversity	Shannon diversity	study_conditionT1D	0.0632429270370072	-0.414115427171567	0.540601281245582	0.788266224767365	NA	not significant
Alpha diversity	Shannon diversity	time_months:study_conditionT1D	0.00251175500503817	-0.0206336095763311	0.0256571195864074	0.830052733482625	NA	not significant
Beta diversity	Bray-Curtis distance from baseline	time_from_baseline_months	0.0218670163652233	0.0161860935462256	0.0275479391842209	9.8316425206428e-12	NA	p < 0.001
Beta diversity	Bray-Curtis distance from baseline	study_conditionT1D	0.034993328197328	-0.170250706912469	0.240237363307125	0.7325764397982	NA	not significant
Beta diversity	Bray-Curtis distance from baseline	time_from_baseline_months:study_conditionT1D	-0.00177038055990585	-0.0140309079220098	0.0104901468021981	0.775301671956437	NA	not significant
Taxa-level	s__Bacteroides_vulgatus	time_months	0.000741508748234498	-0.0463323137038471	0.0478153312003161	0.975132263780108	0.975132263780108	not significant
Taxa-level	s__Bacteroides_vulgatus	study_conditionT1D	0.288773100362374	-3.22912367207533	3.80666987280008	0.865835555192914	0.865835555192914	not significant
Taxa-level	s__Bacteroides_vulgatus	time_months:study_conditionT1D	0.0249944254276763	-0.0773113816738232	0.127300232529176	0.628973602593942	0.689597376029492	not significant
Taxa-level	s__Bacteroides_dorei	time_months	0.0280929194539354	-0.0309109743034447	0.0870968132113155	0.34714317060731	0.520714755910965	not significant
Taxa-level	s__Bacteroides_dorei	study_conditionT1D	-0.894180238619421	-5.88884838825382	4.10048791101498	0.712433861314984	0.845286706022589	not significant
Taxa-level	s__Bacteroides_dorei	time_months:study_conditionT1D	0.0640847620245565	-0.0641867419022309	0.192356265951344	0.324001237091088	0.555430692156151	not significant
Taxa-level	s__Bacteroides_uniformis	time_months	0.0603558609596559	0.00881908962044726	0.111892632298864	0.0221767025592446	0.0665301076777337	nominal p < 0.05
Taxa-level	s__Bacteroides_uniformis	study_conditionT1D	-1.02766054148619	-4.99493800695025	2.93961692397786	0.594932188976973	0.793242918635965	not significant
Taxa-level	s__Bacteroides_uniformis	time_months:study_conditionT1D	-0.116378830309133	-0.228392767095245	-0.00436489352302216	0.0418697109454818	0.167478843781927	nominal p < 0.05
Taxa-level	s__Faecalibacterium_prausnitzii	time_months	0.134903999140832	0.0535337780170329	0.216274220264632	0.00136197054616215	0.0100400300277956	FDR < 0.05
Taxa-level	s__Faecalibacterium_prausnitzii	study_conditionT1D	1.03749635650555	-1.42964699278328	3.50463970579438	0.403679148689156	0.732883100250522	not significant
Taxa-level	s__Faecalibacterium_prausnitzii	time_months:study_conditionT1D	0.0351881034025417	-0.138883412397306	0.209259619202389	0.689597376029492	0.689597376029492	not significant
Taxa-level	s__Bacteroides_fragilis	time_months	-0.0843789054634329	-0.143563165367268	-0.0251946455595976	0.00564772622992126	0.022590904919685	FDR < 0.05
