taxon	mean_abundance	prevalence	taxon_short	selected_for_taxa_LMM
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.115564072945464	1	s__Bacteroides_vulgatus	TRUE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.0723831328209107	0.916666666666667	s__Bacteroides_dorei	TRUE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.0688001362182862	0.933333333333333	s__Bacteroides_uniformis	TRUE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.0566292836368032	0.908333333333333	s__Faecalibacterium_prausnitzii	TRUE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.0470253971102851	0.825	s__Bacteroides_fragilis	TRUE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.035488880514556	0.733333333333333	s__Bifidobacterium_bifidum	TRUE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0323228735128412	0.958333333333333	s__Bifidobacterium_longum	TRUE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.0316278019810552	0.875	s__Blautia_wexlerae	TRUE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0.0299648425194069	0.833333333333333	s__Bacteroides_ovatus	TRUE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.0250885360440616	0.816666666666667	s__Parabacteroides_distasonis	TRUE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.024924106829802	0.533333333333333	s__Roseburia_intestinalis	TRUE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0.0220877388197954	0.383333333333333	s__Prevotella_copri	TRUE
