effect	term	estimate	std.error	statistic	df	p.value	conf.low	conf.high	taxon	p_adj_BH	taxon_short	significance
fixed	study_conditionT1D	2.82403590890022	1.58334690266635	1.78358634115149	41.3100489613069	0.0818387187107097	-0.372869342937814	6.02094116073826	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0.511701913099654	s__Bacteroides_ovatus	not significant
fixed	study_conditionT1D	1.67982105892708	0.956694405624498	1.75585960266021	49.6194075296249	0.0852836521832756	-0.242121458955532	3.60176357680968	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.511701913099654	s__Bifidobacterium_longum	not significant
fixed	study_conditionT1D	2.19671311394572	1.78283137221248	1.23214856333811	60.2835367188055	0.222677910646296	-1.36913564028212	5.76256186817356	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.698132034115245	s__Roseburia_intestinalis	not significant
fixed	study_conditionT1D	-1.7769782562316	1.5141670706102	-1.17356815553748	21.6941108297314	0.253291942427108	-4.91973770002029	1.36578118755709	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0.698132034115245	s__Prevotella_copri	not significant
fixed	study_conditionT1D	1.33364087970457	1.24991337924297	1.06698664231622	52.1951184679808	0.290888347548019	-1.17427065333487	3.84155241274402	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.698132034115245	s__Blautia_wexlerae	not significant
fixed	study_conditionT1D	1.03749635650555	1.23375027659309	0.840928975813906	60.8692270559101	0.403679148689156	-1.42964699278328	3.50463970579438	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.732883100250522	s__Faecalibacterium_prausnitzii	not significant
fixed	study_conditionT1D	-1.60086574791529	1.98023247259748	-0.808423137216521	21.9690413219291	0.427515141812804	-5.70795210565243	2.50622060982185	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.732883100250522	s__Parabacteroides_distasonis	not significant
fixed	study_conditionT1D	-1.21310147531167	2.10378157126135	-0.576629005540885	26.0400987769755	0.569141626044592	-5.53716235534892	3.11095940472557	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.793242918635965	s__Bifidobacterium_bifidum	not significant
fixed	study_conditionT1D	-1.02766054148619	1.90189284911681	-0.540335667155705	20.0001178320056	0.594932188976973	-4.99493800695025	2.93961692397786	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.793242918635965	s__Bacteroides_uniformis	not significant
fixed	study_conditionT1D	-0.894180238619421	2.3908942545271	-0.373994055540646	19.5511608914641	0.712433861314984	-5.88884838825382	4.10048791101498	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.845286706022589	s__Bacteroides_dorei	not significant
fixed	study_conditionT1D	0.625271273716582	2.15699120168754	0.289881235133178	20.308404913731	0.774846147187373	-3.86975720336793	5.12029975080109	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.845286706022589	s__Bacteroides_fragilis	not significant
fixed	study_conditionT1D	0.288773100362374	1.6876088585471	0.171113761876662	20.2145416293116	0.865835555192914	-3.22912367207533	3.80666987280008	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.865835555192914	s__Bacteroides_vulgatus	not significant
