sample_id	subject_id	study_condition	time_months	time_years	taxon	relative_abundance	rel_abund_log10	taxon_short
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.230897246179449	-0.636562438124959	s__Bacteroides_vulgatus
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	8.20000164000033e-06	-4.73992857288069	s__Bacteroides_dorei
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.145200329040066	-0.838002490484702	s__Bacteroides_uniformis
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0	-5	s__Faecalibacterium_prausnitzii
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0	-5	s__Bacteroides_fragilis
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.00283150056630011	-2.54645225306603	s__Bifidobacterium_bifidum
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.00279790055958011	-2.55161827659577	s__Bifidobacterium_longum
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0	-5	s__Blautia_wexlerae
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0	-5	s__Bacteroides_ovatus
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.023973804794761	-1.62008191922325	s__Parabacteroides_distasonis
PRJNA231909.3101140	E001463	control	0	0	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.378767975753595	-0.421615281217755	s__Roseburia_intestinalis
