effect	term	estimate	std.error	statistic	df	p.value	conf.low	conf.high	taxon	p_adj_BH	taxon_short	significance
fixed	(Intercept)	7.97375455037082	0.681824594666479	11.6947300123007	22.4810685999604	4.94357138130572e-11	6.56148918605836	9.38601991468327	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	1.48307141439171e-10	s__Bacteroides_vulgatus	FDR < 0.001
fixed	time_months	0.0059687861995618	0.0209656128456383	0.284694096161541	101.70916344821	0.77645736987998	-0.0356178347994376	0.0475554071985612	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.77645736987998	s__Bacteroides_vulgatus	not significant
fixed	(Intercept)	5.13279278950938	0.954268501493841	5.37877209765841	21.5747222238431	2.25549830219381e-05	3.15149680302223	7.11408877599653	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	2.70659796263257e-05	s__Bacteroides_dorei	FDR < 0.001
fixed	time_months	0.041617333006805	0.0264137055414548	1.5755961594063	101.400956742324	0.118233808021676	-0.0107778419446368	0.0940125079582468	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.249812837933128	s__Bacteroides_dorei	not significant
fixed	(Intercept)	6.98824544197136	0.810025952159295	8.62718709609578	22.0694384315141	1.60722043266435e-08	5.30866083477513	8.66783004916759	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	3.2144408653287e-08	s__Bacteroides_uniformis	FDR < 0.001
fixed	time_months	0.036114669142511	0.0233409231710445	1.54726824118563	101.649095180515	0.124906418966564	-0.0101838596740967	0.0824131979591187	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.249812837933128	s__Bacteroides_uniformis	not significant
fixed	(Intercept)	6.23822674278402	0.541040408695357	11.530056983778	65.0814327658306	2.24558790239213e-17	5.1577200628182	7.31873342274985	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	1.34735274143528e-16	s__Faecalibacterium_prausnitzii	FDR < 0.001
fixed	time_months	0.142939095131702	0.0363128554485052	3.93632209216933	113.399697791592	0.000143140160019807	0.0709995232796526	0.214878666983752	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.0010452894171277	s__Faecalibacterium_prausnitzii	FDR < 0.01
fixed	(Intercept)	6.51111273059205	0.888686201558522	7.3266724735607	22.5014862627335	2.14307461069078e-07	4.67046894786539	8.3517565133187	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	3.21461191603616e-07	s__Bacteroides_fragilis	FDR < 0.001
fixed	time_months	-0.0650893889430248	0.02656316866334	-2.45036237084377	101.841921394179	0.015976056710588	-0.117778289666641	-0.0124004882194085	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.0479281701317639	s__Bacteroides_fragilis	FDR < 0.05
fixed	(Intercept)	5.41443560154123	0.851101531879946	6.36168000964776	31.6010470975193	4.0434635556922e-07	3.67993973648064	7.14893146660182	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	5.39128474092293e-07	s__Bifidobacterium_bifidum	FDR < 0.001
fixed	time_months	-0.0118613052084085	0.0390907719461395	-0.303429802428854	105.010693267064	0.762162682166933	-0.0893709928885641	0.0656483824717471	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.77645736987998	s__Bifidobacterium_bifidum	not significant
fixed	(Intercept)	8.74946978141345	0.409630534199932	21.3594179411025	61.6383318239673	3.49723286312483e-30	7.93053442681133	9.56840513601557	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	4.19667943574979e-29	s__Bifidobacterium_longum	FDR < 0.001
fixed	time_months	-0.0725895389147849	0.0269585929575634	-2.69263084423771	112.663211093988	0.00817117580035689	-0.126001101750741	-0.0191779760788289	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0326847032014276	s__Bifidobacterium_longum	FDR < 0.05
fixed	(Intercept)	5.46782123747624	0.554029670074043	9.86918487009097	54.85124216882	9.18930407413814e-14	4.35745328125241	6.57818919370007	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	3.67572162965526e-13	s__Blautia_wexlerae	FDR < 0.001
fixed	time_months	0.131230390452392	0.0337776238704687	3.88512794611124	111.130992555278	0.000174214902854617	0.0642986432195486	0.198162137685236	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.0010452894171277	s__Blautia_wexlerae	FDR < 0.01
